sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
77.5,250,0.05,1.0,0.8448,0.43095,0.26038,0.13601,0.03983,0.02942,0.9224,0.46758,0.28081,0.14538,0.04138,0.03016,147.542,179.787,195.554,162.689,37.507,13.526,124.643,77.48,50.919,22.128,1.494,0.398,11.45,6.584,3.994,1.524,0.058,0.01,2.318
80.0,250,0.05,1.0,1.19211,0.57353,0.33509,0.17029,0.04829,0.03526,1.28433,0.61383,0.35671,0.17994,0.04987,0.03603,92.183,119.773,138.812,122.147,29.094,10.409,109.892,68.694,46.515,20.8,1.405,0.367,8.501,4.826,3.001,1.179,0.046,0.008,2.298
10.0,500,0.05,1.0,0.13489,0.08355,0.05702,0.03335,0.01063,0.00776,0.18168,0.11067,0.07384,0.04174,0.01212,0.00847,1497.053,1480.905,1322.434,930.031,194.525,72.458,201.941,123.737,75.403,31.018,2.067,0.562,70.04,40.156,22.251,7.797,0.29,0.052,0.91
12.5,500,0.05,1.0,0.13612,0.08427,0.05749,0.03362,0.01071,0.00781,0.18295,0.11141,0.07432,0.042,0.01221,0.00852,1481.257,1466.006,1309.724,921.439,192.769,71.798,201.625,123.545,75.296,30.975,2.065,0.561,69.375,39.778,22.047,7.727,0.288,0.051,0.975
15.0,500,0.05,1.0,0.13764,0.08517,0.05807,0.03394,0.01082,0.00789,0.18454,0.11232,0.07492,0.04233,0.01231,0.00861,1462.019,1447.859,1294.242,910.973,190.629,70.994,201.234,123.307,75.163,30.922,2.062,0.56,68.565,39.318,21.798,7.642,0.285,0.051,1.074
17.5,500,0.05,1.0,0.13948,0.08624,0.05878,0.03434,0.01095,0.00799,0.18645,0.11342,0.07563,0.04273,0.01244,0.00871,1439.381,1426.499,1276.017,898.653,188.11,70.047,200.766,123.021,75.003,30.859,2.059,0.56,67.612,38.776,21.505,7.541,0.281,0.05,1.166
20.0,500,0.05,1.0,0.14166,0.08751,0.05961,0.0348,0.01109,0.00811,0.18872,0.11472,0.07648,0.0432,0.01259,0.00882,1413.392,1401.972,1255.087,884.502,185.217,68.96,200.215,122.686,74.816,30.784,2.054,0.559,66.517,38.154,21.169,7.426,0.277,0.049,1.288
22.5,500,0.05,1.0,0.14419,0.08899,0.06058,0.03534,0.01127,0.00824,0.19136,0.11624,0.07746,0.04374,0.01276,0.00896,1384.109,1374.328,1231.493,868.551,181.957,67.734,199.577,122.297,74.599,30.697,2.05,0.558,65.282,37.453,20.79,7.296,0.272,0.049,1.339
25.0,500,0.05,1.0,0.14712,0.09069,0.06169,0.03596,0.01146,0.00838,0.19441,0.11798,0.07859,0.04437,0.01295,0.0091,1351.596,1343.624,1205.282,850.829,178.334,66.372,198.848,121.853,74.35,30.598,2.044,0.556,63.91,36.673,20.368,7.151,0.266,0.048,1.419
27.5,500,0.05,1.0,0.15048,0.09264,0.06296,0.03667,0.01169,0.00855,0.1979,0.11998,0.07988,0.04508,0.01319,0.00928,1315.926,1309.924,1176.507,831.373,174.357,64.877,198.021,121.347,74.068,30.486,2.038,0.555,62.404,35.817,19.906,6.992,0.261,0.047,1.529
30.0,500,0.05,1.0,0.15431,0.09485,0.0644,0.03747,0.01194,0.00874,0.20189,0.12225,0.08134,0.04589,0.01344,0.00945,1277.177,1273.299,1145.227,810.221,170.034,63.252,197.087,120.778,73.749,30.359,2.031,0.553,60.767,34.887,19.402,6.82,0.254,0.045,1.574
32.5,500,0.05,1.0,0.15868,0.09737,0.06603,0.03837,0.01223,0.00898,0.20644,0.12483,0.083,0.0468,0.01373,0.00969,1235.438,1233.827,1111.504,787.415,165.372,61.5,196.039,120.138,73.391,30.217,2.023,0.552,59.001,33.883,18.86,6.634,0.247,0.044,1.648
35.0,500,0.05,1.0,0.16364,0.10022,0.06787,0.03939,0.01256,0.00922,0.2116,0.12775,0.08487,0.04783,0.01405,0.00995,1190.806,1191.592,1075.407,763.002,160.383,59.624,194.867,119.421,72.991,30.058,2.014,0.55,57.111,32.808,18.278,6.434,0.24,0.043,1.72
37.5,500,0.05,1.0,0.16929,0.10345,0.06996,0.04054,0.01292,0.00949,0.21748,0.13106,0.08699,0.04898,0.01442,0.0102,1143.384,1146.684,1037.011,737.031,155.074,57.629,193.558,118.622,72.545,29.881,2.004,0.547,55.1,31.664,17.66,6.222,0.232,0.041,1.775
40.0,500,0.05,1.0,0.17571,0.1071,0.07231,0.04183,0.01333,0.00982,0.22416,0.13481,0.08937,0.05029,0.01483,0.01054,1093.287,1099.204,996.394,709.552,149.459,55.518,192.097,117.73,72.047,29.684,1.993,0.545,52.973,30.454,17.005,5.998,0.224,0.04,1.864
42.5,500,0.05,1.0,0.18303,0.11126,0.07497,0.04329,0.0138,0.01017,0.23179,0.13907,0.09208,0.05176,0.0153,0.01088,1040.638,1049.256,953.642,680.625,143.547,53.295,190.471,116.736,71.494,29.466,1.981,0.542,50.734,29.179,16.316,5.761,0.215,0.038,1.946
45.0,500,0.05,1.0,0.19142,0.11598,0.07799,0.04494,0.01431,0.01056,0.24052,0.14391,0.09514,0.05342,0.01581,0.01128,985.571,996.955,908.845,650.306,137.351,50.966,188.658,115.629,70.878,29.224,1.966,0.538,48.387,27.843,15.592,5.513,0.206,0.037,2.004
