sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
75.0,0,0.2,4.0,1.78978,1.04551,0.68775,0.37167,0.1409,0.10511,1.93411,1.11902,0.73112,0.39202,0.14644,0.10787,104.597,134.863,155.368,144.28,46.381,14.471,187.206,141.001,106.855,53.625,6.535,1.521,15.096,9.913,6.737,2.935,0.257,0.04,1.984
77.5,0,0.2,4.0,2.5046,1.37904,0.8735,0.45452,0.16646,0.12302,2.68593,1.46456,0.92163,0.47609,0.17214,0.12582,64.604,88.623,108.486,108.809,36.789,11.421,161.807,122.215,94.763,49.456,6.124,1.405,11.715,7.579,5.221,2.347,0.209,0.032,1.982
80.0,0,0.2,4.0,4.03847,2.02673,1.21005,0.59362,0.20573,0.14969,4.29928,2.13561,1.26682,0.61725,0.2116,0.15254,32.882,49.487,66.397,74.731,27.283,8.424,132.793,100.297,80.344,44.362,5.613,1.261,8.576,5.388,3.769,1.766,0.16,0.024,2.023
10.0,250,0.2,4.0,0.30782,0.22221,0.16776,0.10409,0.04272,0.0314,0.37445,0.26547,0.19745,0.12035,0.04779,0.03399,1257.603,1279.446,1175.167,811.181,217.11,70.547,387.115,284.304,197.151,84.434,9.276,2.215,83.797,55.345,34.889,13.189,1.099,0.183,0.795
12.5,250,0.2,4.0,0.31067,0.22414,0.16915,0.10491,0.04307,0.03166,0.37744,0.26746,0.19888,0.12118,0.04813,0.03426,1242.342,1264.825,1162.534,803.2,215.09,69.878,385.956,283.492,196.648,84.263,9.264,2.212,82.959,54.799,34.555,13.069,1.089,0.182,0.93
15.0,250,0.2,4.0,0.31421,0.22653,0.17088,0.10593,0.04349,0.03197,0.38117,0.26994,0.20065,0.12222,0.04856,0.03458,1223.771,1247.027,1147.149,793.477,212.63,69.064,384.525,282.488,196.024,84.052,9.248,2.208,81.94,54.134,34.148,12.923,1.077,0.18,0.982
17.5,250,0.2,4.0,0.31849,0.22942,0.17296,0.10715,0.044,0.03236,0.38567,0.27293,0.20278,0.12346,0.04907,0.03496,1201.938,1226.093,1129.048,782.033,209.734,68.105,382.811,281.286,195.277,83.798,9.229,2.204,80.739,53.351,33.669,12.751,1.063,0.177,1.106
20.0,250,0.2,4.0,0.32356,0.23283,0.17541,0.1086,0.0446,0.03283,0.391,0.27646,0.20529,0.12492,0.04967,0.03543,1176.901,1202.073,1108.27,768.891,206.408,67.004,380.803,279.876,194.401,83.5,9.206,2.2,79.36,52.451,33.118,12.553,1.047,0.174,1.148
22.5,250,0.2,4.0,0.32948,0.2368,0.17826,0.11027,0.0453,0.03336,0.39722,0.28057,0.20822,0.12663,0.05037,0.03596,1148.728,1175.027,1084.862,754.076,202.658,65.763,378.488,278.247,193.388,83.155,9.18,2.194,77.806,51.436,32.497,12.33,1.028,0.171,1.214
25.0,250,0.2,4.0,0.33633,0.24138,0.18154,0.1122,0.0461,0.03398,0.40441,0.28532,0.21158,0.12858,0.05118,0.03659,1117.496,1145.022,1058.877,737.62,198.492,64.384,375.849,276.39,192.231,82.761,9.15,2.188,76.079,50.309,31.807,12.081,1.008,0.168,1.303
27.5,250,0.2,4.0,0.3442,0.24663,0.18529,0.1144,0.04701,0.03467,0.41268,0.29076,0.21543,0.13081,0.05209,0.03728,1083.292,1112.133,1030.373,719.555,193.918,62.871,372.867,274.289,190.921,82.314,9.116,2.18,74.183,49.071,31.049,11.809,0.986,0.164,1.414
30.0,250,0.2,4.0,0.3532,0.25262,0.18956,0.11688,0.04804,0.03547,0.42213,0.29695,0.2198,0.13333,0.05313,0.03809,1046.213,1076.443,999.418,699.919,188.945,61.227,369.521,271.93,189.449,81.81,9.077,2.172,72.122,47.725,30.224,11.512,0.961,0.16,1.402
32.5,250,0.2,4.0,0.36347,0.25942,0.1944,0.1197,0.0492,0.03636,0.43293,0.304,0.22476,0.13619,0.0543,0.03897,1006.368,1038.046,966.084,678.752,183.582,59.454,365.786,269.292,187.802,81.247,9.033,2.162,69.9,46.273,29.335,11.192,0.935,0.155,1.49
35.0,250,0.2,4.0,0.37519,0.26715,0.19987,0.12287,0.05051,0.03739,0.44524,0.312,0.23037,0.13941,0.05561,0.04001,963.877,997.044,930.45,656.098,177.841,57.557,361.635,266.357,185.967,80.618,8.983,2.152,67.522,44.718,28.382,10.849,0.907,0.151,1.548
37.5,250,0.2,4.0,0.38856,0.27592,0.20606,0.12645,0.05199,0.03853,0.45929,0.32108,0.23672,0.14304,0.05709,0.04114,918.875,953.551,892.603,632.004,171.733,55.54,357.034,263.1,183.93,79.919,8.928,2.14,64.994,43.064,27.367,10.484,0.877,0.145,1.627
40.0,250,0.2,4.0,0.40384,0.28589,0.21307,0.13049,0.05365,0.03981,0.47534,0.3314,0.24391,0.14713,0.05876,0.04243,871.506,907.689,852.638,606.522,165.27,53.407,351.947,259.495,181.671,79.143,8.866,2.126,62.319,41.314,26.294,10.097,0.845,0.14,1.58
42.5,250,0.2,4.0,0.42136,0.29725,0.22102,0.13504,0.05551,0.04126,0.49376,0.34316,0.25206,0.15176,0.06064,0.04388,821.935,859.596,810.658,579.705,158.465,51.163,346.333,255.511,179.174,78.285,8.797,2.111,59.506,39.471,25.163,9.69,0.812,0.134,1.643
45.0,250,0.2,4.0,0.44155,0.31024,0.23007,0.1402,0.05761,0.0429,0.51497,0.35662,0.26134,0.15699,0.06275,0.04552,770.341,809.419,766.774,551.613,151.333,48.812,340.141,251.112,176.415,77.336,8.719,2.094,56.561,37.54,23.977,9.262,0.777,0.128,1.833
47.5,250,0.2,4.0,0.46493,0.32517,0.24042,0.14606,0.06,0.04476,0.53954,0.37208,0.27195,0.16294,0.06514,0.04739,716.924,757.325,721.11,522.308,143.887,46.36,333.32,246.261,173.37,76.289,8.633,2.075,53.49,35.525,22.738,8.815,0.74,0.122,1.778
50.0,250,0.2,4.0,0.49222,0.34245,0.25232,0.15275,0.0627,0.04686,0.56822,0.38997,0.28415,0.16973,0.06786,0.04951,661.908,703.496,673.799,491.857,136.143,43.812,325.804,240.909,170.01,75.133,8.536,2.053,50.303,33.431,21.449,8.35,0.702,0.116,1.773
52.5,250,0.2,4.0,0.52436,0.36259,0.26609,0.16045,0.06578,0.04925,0.60199,0.41082,0.29827,0.17753,0.07096,0.0519,605.544,648.135,624.988,460.332,128.118,41.174,317.521,235.005,166.301,73.858,8.428,2.028,47.008,31.263,20.114,7.867,0.663,0.109,1.83
55.0,250,0.2,4.0,0.56262,0.3863,0.28217,0.16935,0.06932,0.05201,0.6422,0.43537,0.31476,0.18657,0.07452,0.05467,548.119,591.473,574.842,427.81,119.828,38.452,308.384,228.485,162.204,72.451,8.307,2.0,43.616,29.027,18.735,7.367,0.622,0.102,2.038
57.5,250,0.2,4.0,0.60881,0.41455,0.30117,0.17977,0.07343,0.05517,0.69073,0.46463,0.33424,0.19714,0.07864,0.05783,489.961,533.773,523.546,394.374,111.292,35.654,298.292,221.277,157.674,70.896,8.172,1.967,40.138,26.73,17.315,6.852,0.58,0.095,1.858
60.0,250,0.2,4.0,0.66549,0.44872,0.3239,0.1921,0.07822,0.05887,0.75029,0.50001,0.35755,0.20965,0.08346,0.06155,431.451,475.34,471.31,360.119,102.529,32.785,287.127,213.294,152.657,69.178,8.02,1.93,36.587,24.38,15.859,6.322,0.537,0.088,1.889
62.5,250,0.2,4.0,0.7365,0.49079,0.35155,0.20689,0.08389,0.06324,0.82491,0.54357,0.3859,0.22467,0.08915,0.06592,373.042,416.531,418.381,325.146,93.559,29.855,274.744,204.428,147.083,67.271,7.849,1.888,32.981,21.986,14.371,5.779,0.492,0.08,1.861
65.0,250,0.2,4.0,0.82775,0.54377,0.3859,0.225,0.0907,0.0684,0.9208,0.59843,0.42112,0.24304,0.096,0.07108,315.275,357.779,365.051,289.573,84.406,26.871,260.969,194.549,140.872,65.153,7.656,1.838,29.336,19.557,12.858,5.224,0.447,0.072,1.877
67.5,250,0.2,4.0,0.9489,0.61242,0.42964,0.24762,0.09901,0.0747,1.04811,0.66951,0.46597,0.266,0.10435,0.07742,258.809,299.616,311.68,253.538,75.094,23.843,245.585,183.49,133.911,62.782,7.435,1.781,25.676,17.107,11.323,4.658,0.401,0.065,2.01
70.0,250,0.2,4.0,1.11669,0.70471,0.48725,0.27675,0.10942,0.08243,1.22443,0.76508,0.52504,0.29555,0.11481,0.08517,204.468,242.712,258.721,217.212,65.649,20.782,228.327,171.042,126.063,60.114,7.183,1.713,22.03,14.653,9.777,4.084,0.354,0.057,1.975
72.5,250,0.2,4.0,1.36252,0.83495,0.56646,0.31565,0.12284,0.09225,1.48277,0.89995,0.60627,0.33502,0.12829,0.09502,153.288,187.941,206.772,180.811,56.107,17.701,208.858,156.922,117.129,57.073,6.892,1.633,18.433,12.215,8.23,3.503,0.306,0.049,1.957
75.0,250,0.2,4.0,1.75215,1.03155,0.68203,0.3703,0.14082,0.1051,1.89225,1.10352,0.72477,0.39047,0.14637,0.1079,106.594,136.465,156.652,144.635,46.506,14.615,186.769,140.77,106.842,53.558,6.549,1.536,14.933,9.822,6.694,2.918,0.258,0.041,1.963
77.5,250,0.2,4.0,2.44506,1.35851,0.86552,0.45271,0.16635,0.12298,2.62044,1.44209,0.9129,0.47409,0.17201,0.12583,66.077,89.873,109.534,109.126,36.904,11.547,161.562,122.093,94.804,49.402,6.139,1.42,11.589,7.512,5.19,2.334,0.209,0.033,2.018
