sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
72.5,3500,0.1,3.0,0.60431,0.38146,0.25778,0.16209,0.05811,0.04528,0.66232,0.41431,0.27772,0.17325,0.06065,0.04673,263.595,288.737,290.03,232.577,58.301,20.051,159.292,110.142,74.765,37.698,3.388,0.908,15.292,9.484,5.781,2.596,0.148,0.029,2.038
75.0,3500,0.1,3.0,0.7372,0.45408,0.30181,0.18735,0.06617,0.05145,0.80002,0.48866,0.32243,0.19875,0.06873,0.05288,200.177,224.788,232.554,191.633,49.193,16.851,147.571,102.071,70.186,35.902,3.255,0.867,12.574,7.773,4.796,2.185,0.126,0.024,2.052
77.5,3500,0.1,3.0,0.95084,0.56585,0.3675,0.22409,0.07741,0.05982,1.02137,0.60311,0.38916,0.23584,0.08001,0.06129,140.418,163.258,176.075,150.777,40.019,13.64,133.515,92.38,64.707,33.788,3.098,0.816,9.904,6.082,3.814,1.772,0.104,0.02,2.069
80.0,3500,0.1,3.0,1.34375,0.75889,0.47593,0.28253,0.09422,0.07213,1.42849,0.80076,0.49931,0.29484,0.09685,0.07357,86.517,105.949,121.685,110.436,30.82,10.439,116.257,80.404,57.914,31.201,2.904,0.753,7.332,4.436,2.844,1.36,0.081,0.015,2.07
10.0,3750,0.1,3.0,0.16147,0.11431,0.08366,0.05602,0.02054,0.01563,0.20269,0.14032,0.1006,0.06607,0.02291,0.01703,1485.339,1458.48,1292.169,924.429,208.91,73.705,239.835,166.718,108.104,51.782,4.29,1.152,61.235,37.942,21.89,9.291,0.497,0.103,0.814
12.5,3750,0.1,3.0,0.16288,0.11526,0.08433,0.05645,0.0207,0.01576,0.20416,0.1413,0.10128,0.06651,0.02308,0.01716,1469.502,1443.512,1279.496,915.755,207.031,73.033,239.354,166.382,107.903,51.695,4.285,1.151,60.656,37.585,21.689,9.208,0.493,0.102,0.88
15.0,3750,0.1,3.0,0.16464,0.11644,0.08517,0.05699,0.0209,0.01592,0.20597,0.14251,0.10213,0.06705,0.02328,0.01732,1450.215,1425.281,1264.059,905.187,204.742,72.215,238.758,165.965,107.654,51.588,4.279,1.15,59.949,37.149,21.444,9.106,0.487,0.101,0.965
17.5,3750,0.1,3.0,0.16675,0.11787,0.08617,0.05764,0.02114,0.01611,0.20817,0.14396,0.10315,0.06771,0.02352,0.0175,1427.521,1403.826,1245.89,892.748,202.048,71.252,238.044,165.464,107.355,51.459,4.272,1.148,59.118,36.637,21.155,8.986,0.481,0.099,1.074
20.0,3750,0.1,3.0,0.16925,0.11955,0.08735,0.05841,0.02143,0.01634,0.21076,0.14568,0.10435,0.06848,0.02381,0.01773,1401.47,1379.191,1225.024,878.46,198.953,70.146,237.205,164.876,107.005,51.307,4.264,1.146,58.163,36.048,20.823,8.849,0.474,0.098,1.152
22.5,3750,0.1,3.0,0.17217,0.1215,0.08872,0.05929,0.02176,0.0166,0.21377,0.14768,0.10574,0.06937,0.02415,0.018,1372.119,1351.428,1201.503,862.354,195.464,68.9,236.236,164.195,106.598,51.131,4.254,1.144,57.086,35.384,20.449,8.694,0.466,0.096,1.201
25.0,3750,0.1,3.0,0.17553,0.12374,0.0903,0.06031,0.02214,0.01692,0.21725,0.14998,0.10734,0.0704,0.02453,0.01831,1339.532,1320.596,1175.376,844.459,191.587,67.514,235.128,163.417,106.133,50.93,4.242,1.142,55.889,34.646,20.033,8.522,0.457,0.094,1.271
27.5,3750,0.1,3.0,0.17938,0.12631,0.09209,0.06147,0.02258,0.01726,0.22124,0.15261,0.10917,0.07157,0.02496,0.01865,1303.784,1286.761,1146.697,824.812,187.329,65.993,233.871,162.534,105.605,50.702,4.229,1.139,54.574,33.836,19.577,8.333,0.447,0.092,1.403
30.0,3750,0.1,3.0,0.18377,0.12923,0.09414,0.06278,0.02307,0.01766,0.22578,0.1556,0.11124,0.0729,0.02546,0.01906,1264.957,1249.995,1115.523,803.453,182.7,64.34,232.457,161.539,105.01,50.444,4.215,1.136,53.145,32.955,19.08,8.127,0.436,0.09,1.414
32.5,3750,0.1,3.0,0.18875,0.13254,0.09644,0.06427,0.02362,0.0181,0.23094,0.15898,0.11358,0.0744,0.02601,0.01949,1223.138,1210.379,1081.919,780.422,177.708,62.557,230.872,160.423,104.342,50.155,4.198,1.132,51.603,32.004,18.544,7.905,0.424,0.087,1.511
35.0,3750,0.1,3.0,0.19441,0.13628,0.09904,0.06594,0.02425,0.0186,0.2368,0.16281,0.11622,0.07608,0.02664,0.02,1178.427,1168.0,1045.955,755.766,172.362,60.648,229.102,159.175,103.595,49.832,4.179,1.128,49.952,30.986,17.97,7.667,0.412,0.085,1.517
37.5,3750,0.1,3.0,0.20084,0.14051,0.10198,0.06781,0.02495,0.01916,0.24345,0.16714,0.1192,0.07798,0.02733,0.02056,1130.93,1122.952,1007.706,729.536,166.673,58.618,227.131,157.786,102.763,49.473,4.158,1.123,48.195,29.902,17.359,7.414,0.398,0.082,1.573
