sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
67.5,500,0.1,2.0,0.55564,0.34146,0.23031,0.12697,0.04924,0.03679,0.62578,0.38065,0.2542,0.13814,0.05215,0.0382,353.012,391.988,393.027,297.442,81.176,26.202,196.149,133.848,90.52,37.765,3.997,0.964,24.759,15.362,9.388,3.325,0.236,0.037,1.891
70.0,500,0.1,2.0,0.64263,0.3878,0.25853,0.14093,0.05426,0.04056,0.71668,0.42835,0.28297,0.15224,0.05718,0.04199,289.342,327.774,335.213,259.698,71.622,23.052,185.94,127.111,86.664,36.598,3.886,0.935,21.426,13.29,8.19,2.939,0.209,0.033,1.915
72.5,500,0.1,2.0,0.76527,0.45112,0.29629,0.15922,0.06067,0.04525,0.84484,0.49353,0.32145,0.17071,0.06361,0.04666,227.477,264.422,277.442,221.535,61.943,19.868,174.081,119.287,82.204,35.272,3.758,0.899,18.1,11.212,6.981,2.547,0.182,0.028,1.924
75.0,500,0.1,2.0,0.94989,0.54266,0.34943,0.18425,0.06918,0.05137,1.03777,0.58774,0.37561,0.196,0.07213,0.05281,168.575,202.819,220.25,183.116,52.167,16.662,160.127,110.061,76.961,33.74,3.609,0.856,14.815,9.144,5.768,2.151,0.154,0.024,1.964
77.5,500,0.1,2.0,1.25537,0.68596,0.42965,0.2207,0.08106,0.05978,1.35702,0.73525,0.45739,0.23281,0.08406,0.06119,114.261,144.26,164.43,144.67,42.329,13.45,143.44,98.957,70.648,31.929,3.431,0.804,11.615,7.11,4.561,1.752,0.127,0.019,1.95
80.0,500,0.1,2.0,1.84129,0.93958,0.5643,0.27869,0.09886,0.07208,1.96939,0.99631,0.59465,0.29137,0.10191,0.07354,66.866,90.73,111.251,106.553,32.48,10.253,123.12,85.248,62.779,29.695,3.211,0.739,8.565,5.147,3.376,1.351,0.099,0.015,1.946
10.0,1000,0.1,2.0,0.18577,0.12677,0.09174,0.05427,0.02145,0.01559,0.2372,0.15849,0.11228,0.0645,0.02426,0.01697,1432.623,1429.171,1292.224,864.104,224.113,74.002,266.14,181.169,118.546,46.892,4.807,1.154,73.683,45.335,26.548,8.842,0.629,0.102,0.755
12.5,1000,0.1,2.0,0.18745,0.12784,0.09249,0.05469,0.02162,0.01572,0.23895,0.1596,0.11305,0.06493,0.02443,0.0171,1416.845,1414.196,1279.379,856.072,222.089,73.326,265.583,180.797,118.326,46.819,4.802,1.153,72.974,44.903,26.302,8.764,0.624,0.101,0.88
15.0,1000,0.1,2.0,0.18953,0.12918,0.09342,0.05522,0.02183,0.01589,0.24112,0.16097,0.11399,0.06546,0.02464,0.01727,1397.633,1395.958,1263.733,846.288,219.624,72.503,264.894,180.336,118.054,46.729,4.795,1.152,72.11,44.377,26.003,8.668,0.617,0.1,0.93
17.5,1000,0.1,2.0,0.19204,0.1308,0.09454,0.05585,0.02209,0.01608,0.24375,0.16263,0.11513,0.0661,0.0249,0.01746,1375.032,1374.497,1245.316,834.77,216.721,71.533,264.068,179.782,117.727,46.621,4.787,1.15,71.093,43.757,25.65,8.555,0.609,0.099,0.986
20.0,1000,0.1,2.0,0.19502,0.1327,0.09585,0.05659,0.02239,0.0163,0.24685,0.16459,0.11648,0.06685,0.0252,0.01768,1349.092,1349.858,1224.167,821.54,213.388,70.42,263.098,179.132,117.342,46.494,4.777,1.148,69.925,43.045,25.245,8.425,0.6,0.097,1.043
22.5,1000,0.1,2.0,0.19849,0.13492,0.09739,0.05746,0.02274,0.01657,0.25047,0.16687,0.11804,0.06772,0.02555,0.01796,1319.874,1322.094,1200.329,806.624,209.629,69.165,261.978,178.381,116.897,46.347,4.766,1.146,68.609,42.243,24.787,8.279,0.59,0.096,1.113
25.0,1000,0.1,2.0,0.20249,0.13748,0.09915,0.05845,0.02313,0.01688,0.25465,0.1695,0.11983,0.06872,0.02595,0.01827,1287.446,1291.266,1173.851,790.051,205.453,67.771,260.698,177.521,116.389,46.178,4.753,1.144,67.145,41.351,24.279,8.117,0.578,0.094,1.225
27.5,1000,0.1,2.0,0.20709,0.1404,0.10116,0.05958,0.02359,0.01723,0.25944,0.17251,0.12189,0.06986,0.0264,0.01861,1251.884,1257.441,1144.787,771.853,200.868,66.24,259.247,176.547,115.811,45.986,4.738,1.141,65.539,40.371,23.722,7.938,0.565,0.092,1.25
30.0,1000,0.1,2.0,0.21233,0.14373,0.10345,0.06086,0.0241,0.01761,0.26491,0.17593,0.12421,0.07116,0.02692,0.01899,1213.273,1220.694,1113.198,752.066,195.882,64.576,257.615,175.449,115.16,45.77,4.721,1.137,63.792,39.306,23.115,7.744,0.552,0.089,1.34
